Age,Gender,Occupation,Annual_Income_USD,Marital_Status,Has_Children,Hotel_Stay_Frequency,Preferred_Hotel_Type,Typical_Length_of_Stay,Stay_Reason,Comfort_With_Smart_Features,WiFi_Importance,Mobile_Checkin_Usage,Allow_Data_For_Personalization,Valued_Aspects,Smart_Features_Desired,Common_Challenges,Average_Spend_Per_Night,Willingness_To_Pay_Extra,Would_Recommend_AI_Hotel,AI_Preference_Score,Willing_To_Stay_At_IntelliStay,Willing_To_Share_Preferences
30,Female,Student,18642,Married,No,3–5,Budget,1 night,Leisure,Yes,Somewhat Important,Always,Yes,"Staff Friendliness, Privacy, Cleanliness","Personalized Room Temperature, Mood Music","Other, Noisy rooms, Poor Wi-Fi",30,< $5,Yes,3,Yes,No
30,Female,Working Professional,2847,Married,Yes,3–5,Airbnb,2–3 nights,Other,No,Very Important,Always,Yes,Technology,"Mood Music, Smart Lighting",Noisy rooms,183,< $5,Yes,6,No,Yes
37,Male,Working Professional,18454,Married,No,3–5,Luxury,2–3 nights,Other,Yes,Very Important,Sometimes,Yes,Privacy,"Smart Mirror, AI Concierge","Long check-in times, Poor Wi-Fi",154,$20+,Yes,7,No,Yes
15,Female,Working Professional,24962,Married,No,6–10,Luxury,7+ nights,Business,Yes,Very Important,Always,Yes,"Technology, Privacy","AI Concierge, Mood Music","Poor Wi-Fi, Lack of personalization, Noisy rooms",201,$10–$20,Yes,9,Yes,Yes
17,Male,Working Professional,51311,Single,Yes,3–5,Budget,4–6 nights,Other,No,Not Important,Always,Yes,"Cleanliness, Staff Friendliness, Technology","AI Concierge, Personalized Room Temperature","Other, Lack of personalization",64,$5–$10,Yes,6,No,Yes
29,Female,Retired,42769,Divorced,No,3–5,Budget,1 night,Other,No,Somewhat Important,Always,Yes,"Food Quality, Privacy","Personalized Room Temperature, AI Concierge, Mood Music","Lack of personalization, Noisy rooms",178,$20+,Yes,10,Yes,Yes
24,Female,Working Professional,49345,Single,No,3–5,Budget,4–6 nights,Transit,Yes,Very Important,Sometimes,No,Cleanliness,"Personalized Room Temperature, AI Concierge","Poor Wi-Fi, Other, Lack of personalization",153,$10–$20,Yes,8,Yes,Yes
38,Female,Entrepreneur,335,Divorced,No,1–2,Boutique,4–6 nights,Event,Yes,Not Important,Sometimes,No,Ambience,"Smart Lighting, AI Concierge","Long check-in times, Noisy rooms",89,$10–$20,Yes,5,Yes,Yes
25,Female,Other,9819,Widowed,No,1–2,Business,2–3 nights,Other,No,Very Important,Sometimes,Yes,Food Quality,"Smart Mirror, Smart Lighting","Noisy rooms, Lack of personalization, Other",113,$10–$20,Yes,6,Yes,Yes
20,Female,Working Professional,43351,Single,No,More than 10,Business,2–3 nights,Transit,Yes,Not Important,Always,Yes,"Technology, Privacy","AI Concierge, Smart Mirror","Noisy rooms, Poor Wi-Fi",109,$10–$20,Yes,10,Yes,Yes
49,Female,Working Professional,26465,Married,Yes,6–10,Luxury,7+ nights,Leisure,No,Very Important,Always,Yes,"Ambience, Food Quality, Technology",Personalized Room Temperature,"Other, Long check-in times",101,< $5,Yes,9,No,Yes
32,Female,Working Professional,213,Single,No,3–5,Boutique,2–3 nights,Other,No,Somewhat Important,Sometimes,No,"Staff Friendliness, Ambience, Food Quality",Smart Mirror,"Long check-in times, Poor Wi-Fi",52,$5–$10,Yes,6,No,Yes
35,Male,Working Professional,65286,Married,Yes,3–5,Budget,7+ nights,Leisure,No,Very Important,Sometimes,Yes,Staff Friendliness,Personalized Room Temperature,Long check-in times,178,$10–$20,Yes,9,Yes,Yes
20,Male,Working Professional,59278,Married,No,1–2,Luxury,1 night,Other,Yes,Somewhat Important,Always,Yes,Food Quality,Smart Mirror,"Noisy rooms, Other",72,< $5,Yes,4,Yes,Yes
29,Male,Retired,31800,Married,Yes,3–5,Boutique,1 night,Business,No,Not Important,Always,Yes,Technology,"Personalized Room Temperature, Smart Mirror, Smart Lighting","Poor Wi-Fi, Noisy rooms",67,< $5,Yes,6,Yes,Yes
36,Male,Entrepreneur,2751,Divorced,Yes,3–5,Airbnb,2–3 nights,Transit,Yes,Somewhat Important,Never,No,"Food Quality, Staff Friendliness, Privacy","AI Concierge, Smart Lighting","Other, Lack of personalization",179,< $5,No,2,Yes,Yes
23,Female,Working Professional,58185,Married,No,3–5,Boutique,2–3 nights,Transit,No,Somewhat Important,Sometimes,No,"Privacy, Cleanliness, Food Quality",Smart Lighting,"Noisy rooms, Other",49,$5–$10,Yes,8,Yes,Yes
38,Male,Working Professional,35055,Married,No,3–5,Luxury,4–6 nights,Business,Yes,Somewhat Important,Always,Yes,"Privacy, Cleanliness, Technology","Smart Lighting, Mood Music, AI Concierge","Noisy rooms, Long check-in times, Poor Wi-Fi",104,< $5,Yes,5,Yes,Yes
28,Prefer not to say,Entrepreneur,60923,Married,Yes,1–2,Business,7+ nights,Event,Yes,Very Important,Always,No,Privacy,"Personalized Room Temperature, AI Concierge","Long check-in times, Lack of personalization, Poor Wi-Fi",70,$10–$20,Yes,7,Yes,Yes
32,Male,Other,55732,Widowed,No,1–2,Budget,2–3 nights,Transit,Yes,Very Important,Never,Yes,"Ambience, Food Quality, Privacy",Personalized Room Temperature,"Long check-in times, Poor Wi-Fi, Lack of personalization",201,$5–$10,Yes,4,Yes,Yes
28,Male,Entrepreneur,64982,Single,Yes,More than 10,Airbnb,1 night,Leisure,Yes,Very Important,Sometimes,Yes,"Staff Friendliness, Technology, Privacy","Smart Lighting, Smart Mirror",Lack of personalization,177,< $5,Yes,7,Yes,No
53,Female,Student,29193,Widowed,Yes,3–5,Boutique,4–6 nights,Transit,Yes,Very Important,Sometimes,No,Staff Friendliness,"Mood Music, Personalized Room Temperature, Smart Lighting",Poor Wi-Fi,78,$20+,Yes,7,Yes,Yes
34,Female,Working Professional,6048,Single,No,3–5,Luxury,2–3 nights,Event,No,Very Important,Sometimes,No,"Technology, Cleanliness, Ambience","Mood Music, Smart Mirror","Poor Wi-Fi, Long check-in times, Other",70,$10–$20,Yes,4,Yes,No
24,Female,Student,44487,Married,No,1–2,Luxury,1 night,Leisure,Yes,Very Important,Sometimes,Yes,"Food Quality, Cleanliness","Mood Music, Smart Mirror",Poor Wi-Fi,158,< $5,No,6,No,Yes
43,Female,Working Professional,38753,Single,Yes,1–2,Budget,2–3 nights,Leisure,No,Very Important,Sometimes,Yes,"Food Quality, Privacy","AI Concierge, Personalized Room Temperature","Poor Wi-Fi, Other, Noisy rooms",141,$5–$10,Yes,7,No,Yes
22,Female,Student,54231,Single,Yes,6–10,Luxury,4–6 nights,Business,Yes,Very Important,Sometimes,No,"Ambience, Staff Friendliness, Technology",Personalized Room Temperature,"Other, Poor Wi-Fi, Lack of personalization",408,$10–$20,Yes,8,Yes,Yes
37,Male,Working Professional,7447,Married,Yes,3–5,Luxury,4–6 nights,Other,Yes,Very Important,Sometimes,No,Technology,AI Concierge,"Long check-in times, Other",97,$10–$20,Yes,10,Yes,Yes
15,Prefer not to say,Working Professional,8675,Married,Yes,3–5,Budget,2–3 nights,Business,Yes,Somewhat Important,Always,No,Privacy,"AI Concierge, Smart Mirror","Noisy rooms, Long check-in times, Other",108,< $5,Yes,9,Yes,Yes
21,Prefer not to say,Working Professional,88440,Single,No,1–2,Airbnb,2–3 nights,Other,Yes,Not Important,Never,Yes,"Technology, Cleanliness, Privacy","Smart Mirror, AI Concierge","Other, Poor Wi-Fi, Noisy rooms",165,$20+,Yes,6,Yes,Yes
36,Female,Working Professional,55448,Single,No,6–10,Business,7+ nights,Business,No,Very Important,Sometimes,No,Cleanliness,Smart Mirror,"Other, Long check-in times",198,$10–$20,Yes,6,Yes,Yes
42,Male,Working Professional,95538,Married,Yes,1–2,Business,2–3 nights,Other,Yes,Somewhat Important,Always,No,"Privacy, Cleanliness","Personalized Room Temperature, Smart Lighting","Noisy rooms, Poor Wi-Fi",211,$20+,Yes,4,Yes,Yes
36,Female,Working Professional,56871,Divorced,No,1–2,Boutique,2–3 nights,Transit,Yes,Very Important,Never,Yes,"Ambience, Food Quality","Personalized Room Temperature, AI Concierge",Noisy rooms,83,< $5,Yes,5,Yes,Yes
33,Male,Working Professional,36368,Single,No,3–5,Airbnb,2–3 nights,Leisure,Yes,Very Important,Never,No,Ambience,"Smart Lighting, Mood Music",Long check-in times,122,< $5,Yes,9,No,Yes
31,Male,Working Professional,42468,Single,Yes,1–2,Boutique,4–6 nights,Other,No,Not Important,Never,Yes,Staff Friendliness,"Personalized Room Temperature, Smart Mirror",Other,187,$5–$10,Yes,4,Yes,No
20,Male,Entrepreneur,87975,Married,No,1–2,Business,2–3 nights,Transit,Yes,Somewhat Important,Never,Yes,"Food Quality, Technology","Mood Music, AI Concierge, Smart Lighting",Poor Wi-Fi,76,< $5,Yes,7,No,No
27,Female,Student,34586,Single,No,3–5,Budget,1 night,Event,Yes,Very Important,Never,Yes,"Technology, Privacy",Smart Mirror,Lack of personalization,85,< $5,No,6,No,Yes
30,Female,Student,40029,Married,Yes,3–5,Luxury,2–3 nights,Business,Yes,Very Important,Always,Yes,Privacy,"Personalized Room Temperature, Mood Music, Smart Mirror",Long check-in times,159,< $5,Yes,5,Yes,Yes
45,Female,Working Professional,6806,Married,Yes,6–10,Business,2–3 nights,Event,Yes,Somewhat Important,Never,Yes,Staff Friendliness,"Smart Mirror, Mood Music","Poor Wi-Fi, Long check-in times, Noisy rooms",96,$10–$20,Yes,4,No,No
38,Female,Retired,25692,Married,No,3–5,Airbnb,2–3 nights,Transit,Yes,Very Important,Never,No,Privacy,"Smart Mirror, Smart Lighting",Noisy rooms,46,< $5,Yes,3,Yes,Yes
17,Male,Working Professional,50407,Single,No,1–2,Business,1 night,Event,No,Very Important,Always,Yes,"Technology, Food Quality","Smart Lighting, Smart Mirror, AI Concierge",Lack of personalization,78,< $5,Yes,4,No,No
38,Male,Working Professional,12640,Married,Yes,1–2,Airbnb,2–3 nights,Event,Yes,Somewhat Important,Always,Yes,"Food Quality, Technology",Personalized Room Temperature,Long check-in times,169,$20+,No,7,Yes,Yes
31,Male,Working Professional,9038,Married,Yes,More than 10,Airbnb,2–3 nights,Transit,Yes,Not Important,Never,No,"Privacy, Cleanliness, Ambience",AI Concierge,Other,132,< $5,Yes,8,Yes,Yes
28,Prefer not to say,Working Professional,15065,Married,No,3–5,Airbnb,1 night,Leisure,Yes,Very Important,Always,Yes,"Ambience, Staff Friendliness, Technology","Smart Mirror, Mood Music",Noisy rooms,41,$5–$10,Yes,10,Yes,Yes
41,Male,Student,11056,Married,No,6–10,Boutique,1 night,Other,Yes,Somewhat Important,Never,Yes,"Privacy, Ambience, Technology","Smart Lighting, Personalized Room Temperature","Poor Wi-Fi, Long check-in times",89,$10–$20,Yes,8,Yes,Yes
45,Female,Working Professional,9678,Married,No,1–2,Budget,7+ nights,Business,Yes,Very Important,Always,Yes,Cleanliness,AI Concierge,Lack of personalization,211,$20+,Yes,8,Yes,No
44,Female,Retired,22125,Married,No,3–5,Business,4–6 nights,Other,No,Very Important,Always,Yes,"Ambience, Food Quality",Smart Mirror,Lack of personalization,116,$20+,Yes,10,No,Yes
26,Male,Working Professional,95368,Married,Yes,1–2,Budget,2–3 nights,Business,No,Very Important,Sometimes,Yes,"Staff Friendliness, Technology","Smart Mirror, Smart Lighting","Noisy rooms, Poor Wi-Fi, Other",107,$5–$10,Yes,8,No,Yes
31,Female,Retired,28294,Widowed,No,3–5,Luxury,4–6 nights,Other,No,Very Important,Always,No,"Technology, Staff Friendliness","Smart Mirror, AI Concierge",Other,120,$20+,Yes,9,Yes,No
38,Female,Entrepreneur,8326,Married,No,More than 10,Business,2–3 nights,Event,No,Very Important,Sometimes,Yes,"Ambience, Staff Friendliness, Cleanliness","Personalized Room Temperature, Smart Mirror, Mood Music","Other, Noisy rooms, Poor Wi-Fi",130,$5–$10,Yes,6,Yes,No
44,Female,Working Professional,3203,Married,No,More than 10,Budget,7+ nights,Leisure,Yes,Somewhat Important,Sometimes,No,Technology,"Smart Lighting, Mood Music, Personalized Room Temperature","Lack of personalization, Noisy rooms",100,$10–$20,Yes,8,Yes,Yes
30,Non-Binary,Retired,47649,Single,Yes,3–5,Budget,2–3 nights,Event,Yes,Somewhat Important,Always,Yes,"Technology, Cleanliness","Smart Lighting, Personalized Room Temperature, Smart Mirror",Lack of personalization,187,$5–$10,Yes,7,No,No
33,Male,Student,19302,Married,No,3–5,Luxury,2–3 nights,Leisure,Yes,Very Important,Always,Yes,"Privacy, Cleanliness",Smart Mirror,"Long check-in times, Other, Noisy rooms",96,$10–$20,Yes,7,Yes,Yes
23,Male,Working Professional,69000,Married,No,More than 10,Airbnb,1 night,Transit,Yes,Very Important,Sometimes,Yes,"Cleanliness, Staff Friendliness, Technology","Mood Music, Personalized Room Temperature, Smart Lighting",Poor Wi-Fi,169,$5–$10,No,10,No,Yes
23,Female,Working Professional,43094,Single,No,3–5,Business,2–3 nights,Business,Yes,Somewhat Important,Always,Yes,Ambience,"Mood Music, Personalized Room Temperature",Lack of personalization,211,$10–$20,Yes,5,Yes,Yes
43,Non-Binary,Student,63632,Single,No,1–2,Business,7+ nights,Business,Yes,Very Important,Sometimes,Yes,"Privacy, Ambience",AI Concierge,"Lack of personalization, Noisy rooms, Long check-in times",138,$10–$20,No,5,Yes,Yes
48,Male,Working Professional,12695,Married,Yes,3–5,Luxury,2–3 nights,Transit,Yes,Somewhat Important,Sometimes,Yes,"Staff Friendliness, Ambience","Mood Music, AI Concierge",Long check-in times,67,< $5,Yes,9,Yes,Yes
34,Female,Working Professional,47152,Married,No,1–2,Airbnb,2–3 nights,Other,No,Not Important,Always,Yes,"Cleanliness, Staff Friendliness, Technology","Smart Lighting, AI Concierge, Mood Music",Lack of personalization,129,$5–$10,Yes,9,Yes,Yes
45,Female,Working Professional,12264,Married,No,3–5,Business,1 night,Transit,No,Not Important,Sometimes,Yes,Technology,"AI Concierge, Personalized Room Temperature, Smart Mirror","Poor Wi-Fi, Noisy rooms, Lack of personalization",91,$10–$20,Yes,7,Yes,Yes
38,Female,Working Professional,111920,Single,No,3–5,Business,4–6 nights,Transit,No,Very Important,Always,Yes,"Food Quality, Technology",AI Concierge,Poor Wi-Fi,164,< $5,Yes,8,Yes,Yes
28,Male,Student,40465,Married,No,3–5,Business,2–3 nights,Leisure,Yes,Very Important,Always,Yes,Cleanliness,Smart Mirror,Noisy rooms,130,$5–$10,Yes,8,Yes,Yes
38,Female,Working Professional,15692,Single,No,3–5,Airbnb,2–3 nights,Transit,Yes,Somewhat Important,Always,Yes,"Food Quality, Privacy",Smart Lighting,Lack of personalization,114,$10–$20,No,8,Yes,No
50,Non-Binary,Working Professional,12561,Married,Yes,1–2,Luxury,7+ nights,Business,Yes,Somewhat Important,Never,No,"Staff Friendliness, Privacy, Cleanliness","Mood Music, Smart Lighting","Poor Wi-Fi, Lack of personalization, Noisy rooms",69,$20+,Yes,7,Yes,Yes
34,Male,Working Professional,8474,Single,No,3–5,Business,1 night,Event,Yes,Somewhat Important,Never,Yes,"Privacy, Staff Friendliness","Smart Mirror, AI Concierge","Noisy rooms, Poor Wi-Fi, Long check-in times",30,< $5,Yes,5,Yes,Yes
50,Male,Entrepreneur,47450,Single,Yes,6–10,Budget,2–3 nights,Leisure,Yes,Very Important,Never,Yes,"Food Quality, Ambience","Mood Music, Smart Lighting, AI Concierge","Poor Wi-Fi, Noisy rooms, Lack of personalization",79,$5–$10,No,9,Yes,Yes
8,Prefer not to say,Working Professional,9872,Single,Yes,3–5,Airbnb,7+ nights,Leisure,Yes,Not Important,Sometimes,Yes,"Privacy, Cleanliness, Ambience","Mood Music, Personalized Room Temperature, AI Concierge","Lack of personalization, Long check-in times",152,< $5,Yes,7,Yes,Yes
43,Male,Entrepreneur,36184,Single,Yes,3–5,Boutique,2–3 nights,Other,Yes,Very Important,Always,Yes,Ambience,"AI Concierge, Smart Lighting, Smart Mirror",Long check-in times,179,$5–$10,Yes,5,Yes,Yes
35,Female,Working Professional,12295,Single,No,More than 10,Luxury,2–3 nights,Event,Yes,Somewhat Important,Sometimes,No,"Food Quality, Privacy","AI Concierge, Personalized Room Temperature","Long check-in times, Poor Wi-Fi, Other",104,< $5,Yes,7,Yes,No
32,Female,Working Professional,43384,Single,No,More than 10,Budget,2–3 nights,Leisure,Yes,Very Important,Sometimes,Yes,Technology,"Smart Mirror, Mood Music, Personalized Room Temperature",Long check-in times,72,$10–$20,Yes,8,Yes,Yes
35,Male,Working Professional,67482,Married,No,1–2,Business,4–6 nights,Transit,Yes,Somewhat Important,Never,Yes,"Cleanliness, Staff Friendliness, Food Quality",Smart Mirror,Lack of personalization,129,$10–$20,Yes,8,No,No
15,Female,Working Professional,60207,Married,No,1–2,Boutique,1 night,Leisure,Yes,Very Important,Always,No,"Ambience, Food Quality, Technology",AI Concierge,"Lack of personalization, Noisy rooms",154,< $5,No,9,Yes,Yes
32,Male,Working Professional,57226,Single,No,6–10,Luxury,7+ nights,Leisure,Yes,Somewhat Important,Always,Yes,Staff Friendliness,Smart Lighting,Other,158,$10–$20,Yes,6,No,Yes
38,Female,Entrepreneur,8316,Married,Yes,6–10,Airbnb,4–6 nights,Leisure,Yes,Not Important,Sometimes,Yes,"Food Quality, Cleanliness, Staff Friendliness",AI Concierge,Poor Wi-Fi,129,$5–$10,Yes,7,No,Yes
49,Male,Working Professional,3701,Single,No,More than 10,Boutique,1 night,Other,Yes,Very Important,Never,Yes,"Cleanliness, Ambience","Personalized Room Temperature, Mood Music","Long check-in times, Poor Wi-Fi, Noisy rooms",223,$5–$10,No,5,Yes,Yes
29,Female,Entrepreneur,48019,Married,Yes,6–10,Boutique,4–6 nights,Leisure,Yes,Very Important,Never,Yes,Staff Friendliness,"Mood Music, Smart Mirror, AI Concierge","Lack of personalization, Other, Noisy rooms",183,$5–$10,Yes,7,Yes,Yes
26,Male,Entrepreneur,18376,Single,Yes,3–5,Budget,2–3 nights,Leisure,No,Very Important,Sometimes,No,Cleanliness,"Personalized Room Temperature, Smart Lighting, AI Concierge","Other, Long check-in times",58,$5–$10,Yes,5,Yes,Yes
29,Male,Retired,22649,Single,No,3–5,Luxury,2–3 nights,Other,No,Very Important,Never,No,"Food Quality, Staff Friendliness, Cleanliness","AI Concierge, Personalized Room Temperature, Smart Mirror",Long check-in times,46,< $5,Yes,6,Yes,Yes
44,Prefer not to say,Retired,1265,Married,Yes,1–2,Budget,4–6 nights,Event,Yes,Very Important,Sometimes,Yes,"Staff Friendliness, Privacy",Personalized Room Temperature,"Lack of personalization, Noisy rooms, Other",524,$10–$20,Yes,9,Yes,No
38,Male,Working Professional,12021,Married,Yes,1–2,Budget,7+ nights,Business,Yes,Very Important,Never,No,Cleanliness,"Smart Mirror, Smart Lighting","Other, Noisy rooms, Lack of personalization",178,$10–$20,Yes,7,Yes,Yes
29,Female,Working Professional,1370,Divorced,No,3–5,Business,1 night,Other,Yes,Somewhat Important,Never,Yes,"Staff Friendliness, Food Quality, Privacy",AI Concierge,"Long check-in times, Noisy rooms, Lack of personalization",34,$10–$20,No,10,Yes,Yes
40,Male,Working Professional,84540,Married,No,3–5,Airbnb,2–3 nights,Other,Yes,Very Important,Never,Yes,"Food Quality, Cleanliness","AI Concierge, Smart Mirror","Long check-in times, Lack of personalization, Other",142,$5–$10,Yes,9,No,Yes
35,Female,Working Professional,11156,Widowed,No,3–5,Boutique,2–3 nights,Leisure,Yes,Very Important,Sometimes,No,"Food Quality, Cleanliness, Privacy",AI Concierge,"Other, Noisy rooms",111,< $5,Yes,7,Yes,Yes
44,Male,Working Professional,32597,Single,No,6–10,Luxury,2–3 nights,Leisure,Yes,Somewhat Important,Always,Yes,"Ambience, Staff Friendliness, Food Quality","Smart Lighting, Personalized Room Temperature, AI Concierge","Other, Noisy rooms",57,$10–$20,Yes,8,Yes,Yes
27,Prefer not to say,Entrepreneur,1590,Single,No,1–2,Airbnb,2–3 nights,Business,Yes,Very Important,Sometimes,Yes,Staff Friendliness,AI Concierge,"Noisy rooms, Long check-in times, Lack of personalization",132,$5–$10,Yes,7,Yes,No
31,Female,Working Professional,43966,Single,No,3–5,Airbnb,1 night,Leisure,Yes,Somewhat Important,Sometimes,Yes,"Staff Friendliness, Privacy, Cleanliness","AI Concierge, Mood Music","Long check-in times, Noisy rooms, Poor Wi-Fi",111,$10–$20,Yes,9,Yes,Yes
31,Male,Working Professional,15604,Single,Yes,1–2,Luxury,2–3 nights,Transit,No,Somewhat Important,Never,Yes,"Technology, Food Quality, Privacy",AI Concierge,Other,160,$10–$20,Yes,8,Yes,Yes
20,Male,Working Professional,91279,Married,No,3–5,Airbnb,2–3 nights,Leisure,Yes,Very Important,Always,Yes,"Staff Friendliness, Privacy","Mood Music, Personalized Room Temperature","Poor Wi-Fi, Lack of personalization, Long check-in times",38,$10–$20,Yes,9,Yes,Yes
37,Male,Working Professional,87612,Married,No,6–10,Business,1 night,Leisure,No,Very Important,Always,Yes,Food Quality,"Smart Mirror, Smart Lighting",Lack of personalization,75,$5–$10,Yes,6,Yes,Yes
37,Female,Working Professional,15738,Single,No,3–5,Airbnb,4–6 nights,Transit,Yes,Somewhat Important,Sometimes,Yes,"Cleanliness, Staff Friendliness",Mood Music,"Noisy rooms, Lack of personalization, Long check-in times",76,$20+,Yes,4,Yes,Yes
35,Male,Retired,92489,Divorced,No,More than 10,Business,4–6 nights,Business,Yes,Somewhat Important,Always,Yes,"Food Quality, Staff Friendliness, Technology",Personalized Room Temperature,Long check-in times,153,$10–$20,Yes,8,Yes,No
32,Female,Working Professional,222467,Married,Yes,1–2,Boutique,2–3 nights,Transit,No,Very Important,Sometimes,No,"Ambience, Food Quality, Technology","AI Concierge, Smart Mirror","Other, Poor Wi-Fi",108,$5–$10,Yes,8,Yes,Yes
20,Male,Working Professional,69813,Single,Yes,3–5,Boutique,2–3 nights,Other,No,Somewhat Important,Sometimes,No,"Technology, Food Quality, Ambience","Personalized Room Temperature, Smart Lighting",Other,179,$10–$20,Yes,7,No,Yes
30,Male,Student,74540,Single,No,3–5,Budget,2–3 nights,Transit,Yes,Very Important,Sometimes,Yes,"Ambience, Privacy, Technology",Smart Lighting,Other,100,< $5,Yes,8,Yes,Yes
31,Female,Working Professional,11454,Single,Yes,3–5,Business,2–3 nights,Event,Yes,Very Important,Always,No,"Ambience, Technology","Smart Lighting, Mood Music, Personalized Room Temperature","Poor Wi-Fi, Other",131,$5–$10,Yes,5,Yes,Yes
26,Female,Working Professional,34387,Single,No,6–10,Boutique,2–3 nights,Other,Yes,Very Important,Never,Yes,"Ambience, Food Quality, Cleanliness","Smart Mirror, Personalized Room Temperature, Smart Lighting","Other, Noisy rooms",194,$20+,Yes,9,Yes,Yes
33,Male,Working Professional,2784,Single,Yes,3–5,Airbnb,4–6 nights,Leisure,Yes,Very Important,Sometimes,Yes,"Staff Friendliness, Cleanliness, Privacy",Smart Lighting,"Lack of personalization, Other, Noisy rooms",31,< $5,Yes,9,Yes,Yes
39,Male,Student,3989,Married,No,6–10,Luxury,1 night,Other,No,Very Important,Never,Yes,"Technology, Privacy, Food Quality","Mood Music, AI Concierge","Other, Noisy rooms, Long check-in times",121,$5–$10,Yes,9,Yes,Yes
53,Male,Working Professional,272230,Single,No,1–2,Luxury,1 night,Business,No,Very Important,Sometimes,Yes,Ambience,"Smart Mirror, Mood Music",Long check-in times,118,$5–$10,Yes,7,Yes,Yes
36,Female,Working Professional,233650,Single,Yes,6–10,Business,1 night,Business,Yes,Very Important,Always,Yes,"Ambience, Food Quality, Privacy","Smart Lighting, Mood Music, Personalized Room Temperature",Lack of personalization,80,$5–$10,Yes,9,No,Yes
37,Female,Working Professional,55162,Widowed,Yes,1–2,Budget,1 night,Transit,Yes,Very Important,Always,Yes,"Privacy, Technology, Staff Friendliness","Smart Mirror, Smart Lighting, AI Concierge","Noisy rooms, Other, Poor Wi-Fi",111,$5–$10,Yes,5,Yes,Yes
34,Female,Working Professional,65733,Married,No,6–10,Airbnb,1 night,Other,Yes,Very Important,Always,Yes,"Staff Friendliness, Privacy, Technology",Smart Lighting,"Lack of personalization, Other, Long check-in times",135,$20+,Yes,8,Yes,Yes
15,Female,Working Professional,78083,Divorced,No,3–5,Business,7+ nights,Leisure,Yes,Very Important,Sometimes,Yes,"Privacy, Ambience, Food Quality","Mood Music, AI Concierge, Smart Lighting",Lack of personalization,82,$5–$10,Yes,8,Yes,Yes
34,Female,Working Professional,241765,Single,No,3–5,Luxury,2–3 nights,Business,No,Somewhat Important,Always,No,"Ambience, Privacy, Technology","AI Concierge, Mood Music, Smart Lighting","Noisy rooms, Other, Lack of personalization",122,$10–$20,Yes,8,Yes,Yes
35,Female,Other,11056,Single,Yes,3–5,Business,1 night,Leisure,No,Somewhat Important,Sometimes,Yes,"Cleanliness, Ambience","Personalized Room Temperature, AI Concierge","Other, Noisy rooms, Poor Wi-Fi",69,$10–$20,Yes,5,Yes,Yes
